No,formula,補気,理気,降気,補血,駆瘀血,利水,補腎,温,清,瀉下,鎮痛,健胃・整腸,鎮咳,安心鎮静,去痰,清頭目,止瀉,潤燥,発表,鎮痙,制吐・鎮嘔,解毒,解熱・消炎,止血
1.0,葛根湯,-1.3101048029999993,-1.2673349929999997,-1.5506285739999996,-1.352282336,-2.135495787,-1.3445932520000001,0.6873048500000003,1.0065715390000007,2.3281378139999998,-0.937572549,2.1021105009999936,-1.8560843130000004,3.4630138839999978,-1.6860959889999998,2.6037195919999974,-0.81109521,-2.1260795,6.070066129999999,10.162757670999996,9.175143962999998,1.9875161469999993,-0.73010777,6.439351896000001,-1.306498572
2.0,葛根湯加川芎辛夷,1.4494887789999988,1.492258589,-1.5506285739999996,1.4073112460000001,0.6240977950000006,-2.255735146,0.6873048500000003,3.7661651209999985,2.3281378139999998,-0.937572549,15.585921980000004,-2.7672262069999998,2.5518719899999978,1.0734975930000001,1.6925776979999982,-0.81109521,-2.1260795,6.070066129999999,10.162757670999996,9.175143962999998,1.076374253,-0.73010777,6.439351896000001,-1.306498572
3.0,乙字湯,1.2179836569999993,-1.2673349929999997,-1.5506285739999996,2.208136567,3.3364661229999983,-3.747257676000001,-1.436655059,0.5195447799999999,9.589120076,0.9739704580000001,6.570302587999997,-1.8737643950000005,-3.4646359480000006,2.9659523799999996,-4.323930240000001,-0.81109521,-0.7439954209999999,-3.4679182590000006,2.576819654999999,-0.16236626999999998,-3.247276774000001,3.115269669999999,7.759557428999997,-1.306498572
5.0,安中散,12.105158455000002,13.865556508,13.582262926999999,-1.352282336,12.997395714,-7.052827508000003,16.699969352,30.228641789,-5.0858866659999995,-0.937572549,39.41316679400003,41.311530179,-4.094323342000001,3.497168998,10.179273866999997,-0.81109521,41.349109250000005,-0.4641853489999998,-0.18831062800000017,14.340837836999999,30.022239137999996,-2.6535935230000005,-3.9117164030000016,-1.306498572
6.0,十味敗毒湯,0.20584303200000054,2.112463093999999,-1.5506285739999996,2.0275157509999997,1.2443023000000004,-2.659330020000001,-1.436655059,0.33892396399999997,-0.03456939499999957,-0.937572549,26.183236317,-2.6973797460000006,18.368525402,4.147618125,2.3763396089999977,-0.81109521,-4.049565253,-3.4679182590000006,20.612858284999998,3.068302509999999,-1.0475856559999999,7.288326749999999,19.746963411,-1.306498572
7.0,八味地黄丸,16.09531151,-1.2673349929999997,-1.5506285739999996,2.879959188,2.6946391189999988,2.4899808679999986,8.840935488,10.793141545,6.170296133999998,-0.937572549,8.154710107999996,-3.3952044090000015,2.0024222059999994,-2.0896908629999995,-6.473817481000001,-0.81109521,10.916382147999999,9.443470476000002,-1.6901770829999996,-2.312253511,-1.7454103189999997,-2.6535935230000005,3.648793571999997,2.9257429519999993
8.0,大柴胡湯,0.6070659579999995,-1.2673349929999997,1.3285894239999998,-1.352282336,0.5678342580000004,3.9290526839999975,-1.436655059,-0.6850948119999998,9.171839428999998,1.7657574959999998,4.067418801999997,5.325409308999997,-0.5356140729999996,2.355034681,2.8127871829999993,-0.81109521,1.6117838899999997,-3.4679182590000006,-3.192043538000001,0.0435258,1.8316323420000002,-0.2978142119999998,3.1345812339999983,-1.306498572
9.0,小柴胡湯,3.7960734459999976,-1.2673349929999997,1.6684350089999993,-1.352282336,-2.135495787,4.268898268999997,-1.436655059,-3.040874123000001,2.584603166000001,-0.937572549,1.8218316019999972,1.2796018739999993,1.9541187529999988,2.678824011,1.0948244609999984,-0.81109521,2.1212227369999996,-0.6027001009999995,-3.192043538000001,-0.16236626999999998,5.036696084999999,-2.6535935230000005,0.7550405190000009,-1.306498572
10.0,柴胡桂枝湯,4.241734726999997,-1.2673349929999997,1.3285894239999998,-1.352282336,-2.135495787,2.8458373089999967,0.6873048500000003,1.0065715390000007,1.30213051,-0.937572549,4.376910379999995,2.2712010879999975,1.6142731679999995,1.5263027119999995,0.7549788760000002,-0.81109521,2.9123477949999983,0.9954824789999994,-1.0680836289999998,1.7611194829999994,6.295033079999998,-0.73010777,1.5965277719999993,-1.306498572
11.0,柴胡桂枝乾姜湯,0.6109737199999994,-1.2673349929999997,-1.5506285739999996,-1.352282336,-2.135495787,-3.747257676000001,1.1646539470000001,3.700005676999999,2.2608138360000005,-0.937572549,2.422457244999999,2.955572397999999,13.056628489999998,7.538299668000001,-0.18435944599999918,-0.81109521,-0.7439954209999999,11.515084391,-0.5907345320000001,-0.16236626999999998,3.493603026,9.728100120999999,15.414253838999992,-1.306498572
12.0,柴胡加竜骨牡蛎湯,5.245540208999998,-1.2673349929999997,1.3285894239999998,-1.352282336,-2.135495787,5.608538668999995,11.389700839,-0.439565117,3.814509018,-0.937572549,1.0312093349999993,5.537062225999997,-0.5356140729999996,21.298222838,-1.3949083649999996,-0.81109521,1.5835677129999997,1.7489651089999991,-0.5907345320000001,-2.312253511,7.048515709999998,-2.6535935230000005,2.3924490069999975,-1.306498572
14.0,半夏瀉心湯,-1.044799507,-1.2673349929999997,1.6684350089999993,-1.352282336,-2.135495787,3.754577883999997,-1.436655059,1.5873067229999998,1.5759718370000007,-0.937572549,5.756842956999995,9.014427594999997,6.836059365999996,1.7318947529999995,5.976765073999998,-0.81109521,5.227867611999997,-0.8523438969999999,-3.192043538000001,0.09139349700000005,13.059533034,-2.6535935230000005,-0.2535908100000004,2.3378013269999993
15.0,黄連解毒湯,-6.0314659560000035,-1.2673349929999997,-1.5506285739999996,-1.352282336,-2.135495787,0.5550428790000008,-1.436655059,-3.040874123000001,13.011463647999998,-0.937572549,-5.355622124000003,6.704172524999999,-5.614523189000001,5.172621664,-6.473817481000001,8.826866930000001,9.745484505999999,-3.4679182590000006,-3.192043538000001,-2.312253511,7.242203152999999,-2.6535935230000005,11.181901000999996,8.149620325
16.0,半夏厚朴湯,-6.0314659560000035,5.126577047,12.958498757999998,-1.352282336,-2.135495787,1.5053629319999997,-1.436655059,-3.040874123000001,-2.253694821,-0.937572549,-2.394225174000001,8.923825584,11.094295261000001,-1.4513053879999995,10.235000969,-0.81109521,-4.049565253,-3.4679182590000006,3.2018685019999995,-2.312253511,2.478721820999999,-2.6535935230000005,-0.5215372730000001,-1.306498572
17.0,五苓散,-1.5939229239999997,-1.2673349929999997,-1.5506285739999996,-1.352282336,-2.135495787,8.055206241999999,0.40274817900000015,-1.2014708849999998,-2.8920802959999996,-0.937572549,-6.071897434000003,-0.45952783199999964,-5.614523189000001,-2.0896908629999995,-3.8756776870000014,-0.81109521,2.9278651129999997,8.687572565,1.2454994940000006,-2.312253511,-1.4078735359999996,-2.6535935230000005,0.8607509390000003,-1.306498572
